LGA_Name,X,Y,Address_Town,School_Name,School_No,Year 7 Total,Year 8 Total,Year 9 Total,Year 10 Total,Year 11 Total,Year 12 Total,Secondary Total,School,Median_VCE_study_score,Percentage_of_study_scores_of_40_and_over,Percentage_of_VCE_students_applying_for_tertiary_places_through_the_Victorian_Tertiary_Admissions_Centre_(VTAC),Percentage_of_Vocational_Education_and_Training_(VET)_units_of_competency_completed,Number_of_students_awarded_the_VCE_Vocational_Major_(VM),Percentage_of_satisfactory_VCE_completions,Locality
Buloke,142.973962,-36.370779,Donald,Donald High School,7775,18.0,17.0,16.0,15.2,12.0,15.0,93.2,Donald High School,29,8.3,64,62,5,100,DONALD
Manningham,145.138053,-37.784581,Doncaster,Doncaster Secondary College,7776,177.0,198.0,182.0,194.0,217.2,202.4,1170.6,Doncaster Secondary College,32,13.0,74,97,7,98,DONCASTER
Baw Baw,145.850978,-38.144659,Drouin,Drouin Secondary College,7785,193.0,185.0,221.0,222.2,176.6,151.0,1148.8,Drouin Secondary College,25,1.1,43,100,34,98,DROUIN
Greater Bendigo,144.261627,-36.720062,Eaglehawk,Eaglehawk Secondary College,7790,141.0,132.0,154.0,138.8,0.0,0.0,565.8,Eaglehawk Secondary College,-,-,-,69,-,-,EAGLEHAWK
Nillumbik,145.141725,-37.724436,Eltham,Eltham High School,7805,203.0,183.0,223.0,277.7,218.0,248.0,1352.7,Eltham High School,29,5.3,66,84,4,99,ELTHAM
Port Phillip,144.985203,-37.88232,Elwood,Elwood College,7810,117.0,126.0,124.0,133.0,160.6,137.2,797.8,Elwood College,31,9.3,70,88,< 4,99,ELWOOD
Whittlesea,145.033426,-37.644001,Epping,Epping Secondary College,7813,124.0,157.0,160.0,213.0,189.0,146.8,989.8,Epping Secondary College,28,5.2,62,83,53,98,EPPING
Strathbogie,145.5648,-36.758203,Euroa,Euroa Secondary College,7820,46.0,43.0,36.0,54.0,56.3,41.1,276.4,Euroa Secondary College,26,2.8,39,82,9,90,EUROA
Knox,145.259037,-37.87321,Knoxfield,Fairhills High School,7823,83.0,76.0,68.0,77.0,48.0,45.8,397.8,Fairhills High School,26,0.0,56,89,14,93,KNOXFIELD
Maribyrnong,144.8937633,-37.79104291,Footscray,Footscray High School,7842,183.0,192.9,212.2,223.0,264.0,258.2,1333.3,Footscray High School,29,4.2,70,67,17,99,FOOTSCRAY
South Gippsland,146.197413,-38.651737,Foster,Foster Secondary College,7845,52.0,42.0,55.0,43.4,39.9,32.8,265.1,Foster Secondary College,30,3.0,45,64,7,90,FOSTER
Frankston,145.128951,-38.1621885,Frankston,Frankston High School,7850,347.0,346.0,299.0,363.0,324.0,294.8,1973.8,Frankston High School,31,9.6,69,84,16,99,FRANKSTON
Greater Geelong,144.373726,-38.153026,East Geelong,Geelong High School,7855,199.0,155.0,170.0,159.4,162.4,128.8,974.6,Geelong High School,27,5.1,44,88,7,99,EAST GEELONG
Macedon Ranges,144.5847741,-37.49811364,Gisborne,Gisborne Secondary College,7857,157.0,171.0,155.0,188.0,156.5,145.7,973.2,Gisborne Secondary College,27,0.8,49,61,45,100,GISBORNE
Banyule,145.061977,-37.707501,Bundoora,Bundoora Secondary College,7874,108.0,105.0,103.0,103.0,68.2,58.0,545.2,Bundoora Secondary College,26,1.7,41,74,9,89,BUNDOORA
Yarra Ranges,145.530807,-37.643586,Healesville,Healesville High School,7900,58.0,66.0,50.0,49.0,63.7,42.9,329.6,Healesville High School,27,1.6,62,87,4,88,HEALESVILLE
Monash,145.17682,-37.865409,Glen Waverley,Highvale Secondary College,7918,208.0,217.0,179.0,231.0,213.0,173.0,1221.0,Highvale Secondary College,29,7.3,86,81,-,98,GLEN WAVERLEY
Gannawarra,143.913802,-35.725651,Kerang,Kerang Technical High School,7945,42.0,38.0,59.0,41.0,33.0,26.4,239.4,Kerang Technical High School,26,2.6,41,65,-,100,KERANG
Boroondara,145.063358,-37.795546,Kew East,Kew High School,7950,142.0,145.0,158.0,149.0,204.7,202.8,1001.5,Kew High School,30,7.1,95,95,15,100,KEW EAST
Whitehorse,145.117561,-37.80219,Mont Albert North,Koonung Secondary College,7954,229.0,193.0,182.0,222.0,201.0,187.2,1214.2,Koonung Secondary College,32,9.8,84,84,12,97,MONT ALBERT NORTH
Campaspe,145.056207,-36.317476,Kyabram,Kyabram P-12 College,7965,87.0,81.0,105.8,95.0,94.8,41.9,505.5,Kyabram P-12 College,23,0.0,36,98,9,98,KYABRAM
Whittlesea,145.0306228,-37.67265939,Lalor,Lalor Secondary College,7985,188.0,187.0,189.0,207.0,193.8,177.4,1142.2,Lalor Secondary College,26,2.3,69,73,28,98,LALOR
Yarra Ranges,145.343917,-37.760697,Lilydale,Lilydale High School,7995,277.0,291.0,298.0,230.0,200.8,151.9,1448.7,Lilydale High School,27,2.0,45,88,16,100,LILYDALE
Surf Coast,143.9738904,-38.53917804,Lorne,Lorne P-12 College,7997,20.0,17.8,15.0,24.0,15.8,9.0,101.6,Lorne P-12 College,23,3.9,100,96,< 4,100,LORNE
Greater Dandenong,145.206712,-37.958765,Dandenong North,Lyndale Secondary College,8000,142.0,150.0,135.0,159.0,152.0,116.7,854.7,Lyndale Secondary College,26,3.5,82,76,18,97,DANDENONG NORTH
Yarra,145.002257,-37.816477,Richmond,Bindjiroo Yaluk Community School,8003,6.0,10.0,13.4,17.0,25.8,13.8,86.0,Bindjiroo Yaluk Community School,-,-,-,21,< 4,50,RICHMOND
Wellington,146.982424,-37.964888,Maffra,Maffra Secondary College,8005,101.0,95.0,124.0,98.0,79.0,61.0,558.0,Maffra Secondary College,28,1.0,49,98,< 4,97,MAFFRA
Mansfield,146.088565,-37.062676,Mansfield,Mansfield Secondary College,8010,77.0,89.0,87.2,78.9,84.0,62.5,478.6,Mansfield Secondary College,29,6.3,35,90,24,100,MANSFIELD
Stonnington,144.995314,-37.836829,South Yarra,Melbourne High School,8025,0.0,0.0,312.0,367.0,352.0,376.0,1407.0,Melbourne High School,36,28.5,96,67,-,100,SOUTH YARRA
Melton,144.568216,-37.681753,Melton,Melton Secondary College,8027,242.0,258.0,289.0,231.0,282.0,161.0,1463.0,Melton Secondary College,24,1.2,50,58,34,83,MELTON
Mildura,142.1453901,-34.19800387,Mildura,Mildura Senior College,8045,0.0,1.0,2.0,2.0,552.7,468.3,1026.0,Mildura Senior College,26,2.8,46,84,48,94,MILDURA
Yarra Ranges,145.4278068,-37.88317535,Monbulk,Monbulk College,8065,110.4,112.0,137.2,99.0,73.5,66.4,598.5,Monbulk College,25,5.1,57,79,14,98,MONBULK
Yarra Ranges,145.3142304,-37.77508326,Mooroolbark,Mooroolbark College,8071,154.0,170.0,157.0,183.0,147.7,131.4,943.1,Mooroolbark College,28,2.1,53,64,27,91,MOOROOLBARK
Kingston,145.092675,-38.012243,Mordialloc,Mordialloc College,8075,183.0,198.0,219.0,238.1,195.0,198.0,1231.1,Mordialloc College,30,7.0,77,78,18,99,MORDIALLOC
Glen Eira,145.048545,-37.912204,Mckinnon,McKinnon Secondary College,8125,529.0,537.0,515.0,520.0,458.6,448.0,3007.6,McKinnon Secondary College,33,17.7,88,94,18,100,MCKINNON
Moira,145.208438,-36.059901,Nathalia,Nathalia Secondary College,8140,18.0,21.0,18.0,18.0,24.0,13.0,112.0,Nathalia Secondary College,20,2.9,40,75,< 4,90,NATHALIA
Greater Geelong,144.395201,-38.171133,Newcomb,Newcomb Secondary College,8151,89.0,114.0,91.0,73.0,82.0,66.0,515.0,Newcomb Secondary College,25,1.0,14,69,19,88,NEWCOMB
Darebin,144.989706,-37.774156,Northcote,Northcote High School,8180,248.0,222.0,267.5,283.5,322.3,315.1,1658.4,Northcote High School,30,8.5,88,90,13,99,NORTHCOTE
Maroondah,145.237605,-37.799752,Ringwood,Norwood Secondary College,8185,199.0,190.0,196.0,181.0,184.6,146.7,1097.3,Norwood Secondary College,29,5.7,55,83,20,97,RINGWOOD
Moira,145.446271,-36.079948,Numurkah,Numurkah Secondary College,8190,49.0,49.0,53.0,46.0,35.6,36.9,269.5,Numurkah Secondary College,24,0.0,44,63,< 4,78,NUMURKAH
Greater Geelong,144.364137,-38.231762,Armstrong Creek,Oberon High School,8210,178.0,175.0,202.0,209.0,185.7,145.5,1095.2,Oberon High School,28,4.0,50,71,12,97,ARMSTRONG CREEK
Mildura,142.322608,-35.064571,Ouyen,Ouyen P-12 College,8220,13.0,23.0,23.0,20.0,13.0,10.4,102.4,Ouyen P-12 College,29,0.0,40,95,< 4,100,OUYEN
Cardinia,145.471002,-38.068997,Pakenham,Pakenham Secondary College,8223,254.0,189.0,193.0,156.0,163.4,91.2,1046.6,Pakenham Secondary College,27,1.2,73,82,22,99,PAKENHAM
Kingston,145.093501,-37.990301,Mordialloc,Parkdale Secondary College,8225,169.1,190.0,250.5,268.6,249.6,289.9,1417.7,Parkdale Secondary College,30,5.9,57,97,22,99,MORDIALLOC
Stonnington,144.9911611,-37.85174882,Windsor,Prahran High School,8231,97.0,90.0,81.0,91.0,106.1,100.8,565.9,Prahran High School,30,5.3,80,79,< 4,97,WINDSOR
Darebin,145.006401,-37.741692,Preston,Preston High School,8241,271.0,232.0,243.0,222.0,159.6,152.9,1280.5,Preston High School,29,4.7,94,87,5,97,PRESTON
Greater Geelong,144.557527,-38.190662,Drysdale,Bellarine Secondary College,8250,196.0,197.0,233.0,200.7,204.5,136.6,1167.8,Bellarine Secondary College,28,4.9,45,67,28,94,DRYSDALE
Hindmarsh,141.9966997,-35.89446757,Rainbow,Rainbow P-12 College,8256,12.0,6.0,15.0,8.0,7.9,10.5,59.4,Rainbow P-12 College,24,2.9,33,100,< 4,100,RAINBOW
Mildura,142.195452,-34.298804,Red Cliffs,Red Cliffs Secondary College,8260,78.0,75.0,65.0,66.0,35.8,26.0,373.8,Red Cliffs Secondary College,23,0.0,43,78,-,86,RED CLIFFS
Maroondah,145.239147,-37.816606,Ringwood,Ringwood Secondary College,8270,244.0,256.0,267.0,260.0,251.7,245.7,1524.4,Ringwood Secondary College,30,7.9,71,92,39,99,RINGWOOD
Yarra,145.002804,-37.817408,Richmond,Richmond High School,8271,66.0,66.0,80.0,78.0,95.0,103.7,488.7,Richmond High School,28,6.2,78,71,-,94,RICHMOND
Swan Hill,142.7815451,-34.58888676,Robinvale,Robinvale College,8276,21.0,18.0,19.0,28.0,16.7,21.3,124.0,Robinvale College,23,0.0,-,84,4,100,ROBINVALE
Campaspe,144.6986963,-36.35277863,Rochester,Rochester Secondary College,8280,80.0,57.0,70.0,63.0,55.0,26.0,351.0,Rochester Secondary College,27,0.9,56,75,5,100,ROCHESTER
Mornington Peninsula,144.887447,-38.367615,Rosebud,Rosebud Secondary College,8290,207.0,189.0,171.0,157.0,137.0,126.0,987.0,Rosebud Secondary College,27,2.2,41,75,7,96,ROSEBUD
Indigo,146.452103,-36.062564,Rutherglen,Rutherglen High School,8300,61.0,56.0,62.0,50.4,42.2,38.9,310.5,Rutherglen High School,21,0.0,32,79,9,100,RUTHERGLEN
Knox,145.2362,-37.888642,Scoresby,Scoresby Secondary College,8307,58.0,53.0,30.0,33.0,40.0,42.0,256.0,Scoresby Secondary College,28,5.6,48,72,8,100,SCORESBY
Brimbank,144.808411,-37.745532,St Albans,St Albans Secondary College,8330,320.0,263.0,262.0,314.0,312.0,241.0,1712.0,St Albans Secondary College,31,8.8,80,69,56,94,ST ALBANS
Northern Grampians,143.250936,-36.609547,St Arnaud,St Arnaud Secondary College,8335,30.0,31.0,27.0,29.0,31.8,14.2,163.0,St Arnaud Secondary College,26,0.0,40,68,-,80,ST ARNAUD
Glen Eira,145.034173,-37.87398,Caulfield North,Oakwood School,8337,1.0,35.0,89.8,147.0,176.8,163.0,612.6,Oakwood School,I/D,I/D,-,47,-,-,CAULFIELD NORTH
Moonee Valley,144.926643,-37.73695,Strathmore,Strathmore Secondary College,8345,338.0,318.0,302.0,326.0,356.0,320.9,1960.9,Strathmore Secondary College,30,5.9,80,33,10,99,STRATHMORE
Hume,144.728672,-37.574279,Sunbury,Sunbury College,8350,165.0,154.0,163.0,188.7,156.7,152.0,979.4,Sunbury College,27,1.3,45,83,47,100,SUNBURY
Merri-bek,144.962338,-37.771817,Brunswick,Sydney Road Community School,8368,13.0,16.0,17.0,19.0,20.0,19.9,104.9,Sydney Road Community School,22,0.0,25,61,6,92,BRUNSWICK
Towong,147.172667,-36.220441,Tallangatta,Tallangatta Secondary College,8370,64.0,65.0,63.0,48.0,44.6,36.5,321.1,Tallangatta Secondary College,27,0.0,24,100,13,100,TALLANGATTA
Whittlesea,145.0019385,-37.67871605,Thomastown,Thomastown Secondary College,8383,83.0,62.0,72.0,83.0,91.7,59.6,451.3,Thomastown Secondary College,24,1.4,64,78,-,89,THOMASTOWN
Baw Baw,146.158302,-38.214568,Trafalgar,Trafalgar High School,8395,116.0,112.0,122.0,136.0,107.5,102.6,696.1,Trafalgar High School,27,5.9,53,91,15,99,TRAFALGAR
Melbourne,144.95538,-37.796982,Parkville,University High School,8405,343.0,293.0,298.0,325.0,373.8,350.6,1983.4,University High School,31,9.0,88,54,7,97,PARKVILLE
Hume,144.930331,-37.63041,Roxburgh Park,Roxburgh College,8407,163.0,153.0,165.4,190.4,179.0,166.9,1052.7,Roxburgh College,23,0.7,60,74,57,93,ROXBURGH PARK
Yarra Ranges,145.623933,-37.79209352,Yarra Junction,Upper Yarra Secondary College,8410,142.0,135.5,143.0,134.0,107.9,84.2,746.6,Upper Yarra Secondary College,27,2.1,64,80,15,94,YARRA JUNCTION
Yarra Ranges,145.335475,-37.904357,Upwey,Upwey High School,8415,140.0,119.0,129.7,149.6,116.8,105.6,760.7,Upwey High School,27,1.5,52,71,11,92,UPWEY
Whitehorse,145.199701,-37.844117,Vermont,Vermont Secondary College,8420,309.0,285.0,288.0,261.0,265.6,241.8,1650.4,Vermont Secondary College,32,9.8,78,67,12,100,VERMONT
Casey,145.34741,-38.05368819,Berwick,Kambrya College,8421,442.0,478.0,448.0,390.0,337.0,273.8,2368.8,Kambrya College,31,5.6,66,85,65,99,BERWICK
Wangaratta,146.307723,-36.344898,Wangaratta,Wangaratta High School,8425,109.0,124.0,113.4,108.0,90.0,65.9,610.3,Wangaratta High School,26,1.9,55,68,< 4,89,WANGARATTA
Knox,145.229974,-37.857598,Wantirna,Wantirna College,8428,229.0,244.0,261.0,272.0,255.9,210.7,1472.6,Wantirna College,29,3.6,65,78,40,100,WANTIRNA
Manningham,145.184222,-37.748269,Warrandyte,Warrandyte High School,8437,40.0,43.0,42.0,49.0,69.0,30.0,273.0,Warrandyte High School,26,0.8,53,81,5,100,WARRANDYTE
Monash,145.169378,-37.934467,Mulgrave,Wellington Secondary College,8462,255.0,244.0,233.0,283.9,337.9,279.7,1633.5,Wellington Secondary College,29,4.7,79,95,29,99,MULGRAVE
Wyndham,144.668744,-37.905536,Werribee,Werribee Secondary College,8465,255.0,249.0,316.0,278.0,282.7,252.8,1633.5,Werribee Secondary College,28,5.2,83,73,17,95,WERRIBEE
East Gippsland,147.6049997,-37.82871098,Bairnsdale,Bairnsdale Secondary College,8466,260.0,221.0,203.0,230.1,205.3,129.7,1249.1,Bairnsdale Secondary College,26,1.1,44,85,26,96,BAIRNSDALE
Kingston,145.136577,-37.940312,Clayton South,Westall Secondary College,8470,93.0,103.0,110.0,136.0,129.0,124.0,695.0,Westall Secondary College,24,3.0,59,64,28,96,CLAYTON SOUTH
Hobsons Bay,144.895024,-37.862855,Williamstown,Williamstown High School,8475,265.0,253.0,250.0,264.0,256.2,245.7,1533.9,Williamstown High School,31,10.3,77,67,33,99,WILLIAMSTOWN
Wellington,146.685408,-38.56743,Yarram,Yarram Secondary College,8490,43.8,39.8,31.2,56.3,47.7,48.5,267.3,Yarram Secondary College,25,1.4,37,91,5,87,YARRAM
Ballarat,143.892275,-37.559122,Ballarat East,Woodmans Hill Secondary College,8491,102.6,122.0,107.0,103.9,103.4,70.9,609.8,Woodmans Hill Secondary College,27,5.3,46,67,16,91,BALLARAT EAST
Murrindindi,145.408536,-37.215011,Yea,Yea High School,8500,31.0,38.0,45.0,60.0,70.4,36.1,280.5,Yea High School,25,0.0,43,80,5,86,YEA
Glen Eira,145.038006,-37.8857,Caulfield East,Glen Eira College,8704,170.0,144.0,161.0,134.0,162.0,122.7,893.7,Glen Eira College,31,6.5,79,86,8,98,CAULFIELD EAST
Hume,144.9359541,-37.60875112,Craigieburn,Craigieburn Secondary College,8705,148.0,168.0,147.0,173.9,166.5,164.2,967.6,Craigieburn Secondary College,21,0.7,76,82,33,96,CRAIGIEBURN
Cardinia,145.4587437,-37.92427055,Emerald,Emerald Secondary College,8707,111.0,112.0,102.0,111.0,104.0,101.3,641.3,Emerald Secondary College,28,1.6,52,90,16,100,EMERALD
Darebin,145.029772,-37.722259,Reservoir,Reservoir High School,8708,121.0,115.0,102.0,111.0,99.9,85.4,634.3,Reservoir High School,28,3.8,62,90,13,94,RESERVOIR
Frankston,145.19018,-38.159291,Langwarrin,Elisabeth Murdoch College,8722,283.0,259.0,280.5,254.0,276.6,239.6,1592.7,Elisabeth Murdoch College,31,10.8,40,88,76,100,LANGWARRIN
Whitehorse,145.163728,-37.848519,Burwood East,Forest Hill College,8724,50.0,55.0,49.0,66.0,81.0,72.0,373.0,Forest Hill College,29,2.1,58,87,15,94,BURWOOD EAST
Northern Grampians,142.789787,-37.061954,Stawell,Stawell Secondary College,8731,80.0,59.0,52.7,53.0,65.0,36.0,345.7,Stawell Secondary College,23,2.4,23,57,14,91,STAWELL
Knox,145.2370885,-37.92388682,Rowville,Rowville Secondary College,8734,337.0,326.0,352.0,322.0,301.6,259.1,1897.7,Rowville Secondary College,25,2.1,41,86,83,96,ROWVILLE
Bass Coast,145.5978801,-38.61094209,Wonthaggi,Bass Coast College,8736,321.8,319.8,309.0,291.6,258.7,203.5,1704.4,Bass Coast College,28,3.6,53,64,29,95,WONTHAGGI
Bayside,145.023034,-37.956709,Sandringham,Sandringham College,8739,211.0,192.0,186.0,206.5,143.1,153.9,1092.5,Sandringham College,31,6.9,69,78,13,100,SANDRINGHAM
Yarra,144.987476,-37.784911,Fitzroy North,Fitzroy High School,8742,38.0,51.0,55.0,76.0,101.0,112.4,433.4,Fitzroy High School,28,3.7,74,62,6,93,FITZROY NORTH
Monash,145.103328,-37.864527,Ashwood,Ashwood High School,8743,221.0,185.0,186.0,149.0,136.0,116.6,993.6,Ashwood High School,31,8.1,72,79,18,99,ASHWOOD
South Gippsland,145.9612411,-38.47868659,Leongatha,Leongatha Secondary College,8745,108.0,110.0,111.0,108.2,93.8,83.3,614.3,Leongatha Secondary College,29,1.0,60,79,28,99,LEONGATHA
Nillumbik,145.167403,-37.672828,Diamond Creek,Diamond Valley College,8746,133.0,158.0,165.0,136.8,125.3,113.7,831.8,Diamond Valley College,25,0.7,56,76,18,100,DIAMOND CREEK
Ararat,142.9219615,-37.28599961,Ararat,Ararat Secondary College,8753,72.0,75.0,48.0,62.0,44.2,47.8,349.0,Ararat Secondary College,26,1.2,30,98,< 4,89,ARARAT
Moorabool,144.4330584,-37.68562875,Bacchus Marsh,Bacchus Marsh College,8777,181.0,185.0,194.2,171.0,118.4,128.8,978.4,Bacchus Marsh College,24,0.3,57,71,28,97,BACCHUS MARSH
Wyndham,144.6749381,-37.8581346,Hoppers Crossing,The Grange P-12 College,8783,188.0,198.0,235.0,256.0,215.0,178.0,1270.0,The Grange P-12 College,25,3.2,55,84,38,95,HOPPERS CROSSING
Brimbank,144.81382,-37.793158,Sunshine West,Sunshine College,8790,208.0,157.0,213.0,232.4,230.0,183.0,1223.4,Sunshine College,26,1.5,75,89,32,98,SUNSHINE WEST
Mitchell,144.981473,-37.418393,Wallan,Wallan Secondary College,8791,189.0,178.0,179.0,165.0,147.5,98.7,957.2,Wallan Secondary College,22,0.0,34,66,14,93,WALLAN
Darebin,145.0252135,-37.75649469,Thornbury,Thornbury High School,8797,218.7,203.0,165.1,194.4,151.6,148.1,1080.9,Thornbury High School,30,6.0,82,79,13,93,THORNBURY
Glenelg,141.5948243,-38.3588185,Portland,Portland Secondary College,8798,94.0,78.0,94.0,104.0,83.3,83.6,536.9,Portland Secondary College,24,0.4,46,75,16,100,PORTLAND
Brimbank,144.772426,-37.719463,Delahey,Copperfield College,8799,286.0,324.0,279.0,318.0,333.0,334.0,1874.0,Copperfield College,27,2.1,63,76,51,92,DELAHEY
Swan Hill,143.5528519,-35.33522773,Swan Hill,Swan Hill College,8802,122.0,138.0,145.0,128.0,115.2,108.3,756.5,Swan Hill College,26,1.8,65,82,11,99,SWAN HILL
Latrobe,146.5194895,-38.19142459,Traralgon,Traralgon College,8803,168.0,161.0,141.0,153.6,177.1,135.0,935.7,Traralgon College,25,0.9,35,81,21,98,TRARALGON
Mornington Peninsula,145.057762,-38.216712,Mornington,Mornington Secondary College,8804,107.0,95.0,139.0,130.0,169.8,175.8,816.6,Mornington Secondary College,27,4.3,44,69,39,98,MORNINGTON
Merri-bek,144.95501,-37.770899,Brunswick,Brunswick Secondary College,8807,173.0,195.0,180.0,174.0,184.6,164.9,1071.5,Brunswick Secondary College,30,8.8,77,82,14,97,BRUNSWICK
Frankston,145.147724,-38.126124,Frankston North,Monterey Secondary College,8809,95.0,87.0,90.0,83.0,81.0,47.0,483.0,Monterey Secondary College,21,4.5,6,76,18,88,FRANKSTON NORTH
Warrnambool,142.4996761,-38.37671595,Warrnambool,Warrnambool College,8811,143.4,172.0,188.0,211.9,197.2,163.7,1076.2,Warrnambool College,26,1.5,47,92,25,95,WARRNAMBOOL
Banyule,145.08659,-37.741196,Viewbank,Viewbank College,8812,231.2,247.0,243.0,245.0,246.7,206.1,1419.0,Viewbank College,31,7.0,80,86,10,98,VIEWBANK
Greater Dandenong,145.182369,-37.970209,Noble Park,Noble Park Secondary College,8813,52.0,67.0,106.0,119.0,121.0,91.6,556.6,Noble Park Secondary College,25,0.5,68,85,19,100,NOBLE PARK
Southern Grampians,142.014634,-37.734187,Hamilton,Baimbridge College,8814,50.0,62.0,56.0,67.2,45.6,39.8,320.6,Baimbridge College,26,0.0,30,90,10,85,HAMILTON
Maroondah,145.2321036,-37.83842619,Heathmont,Heathmont College,8816,129.0,130.0,108.0,95.0,115.8,94.5,672.3,Heathmont College,25,0.7,49,80,13,98,HEATHMONT
Horsham,142.184101,-36.711661,Horsham,Horsham College,8818,148.0,159.0,167.0,159.0,250.0,156.8,1039.8,Horsham College,29,5.2,38,96,23,93,HORSHAM
Yarra,145.014334,-37.822507,Richmond,Melbourne Girls College,8819,298.0,257.0,254.0,262.0,243.4,216.7,1531.1,Melbourne Girls' College,32,10.6,95,89,8,100,RICHMOND
Latrobe,146.2859798,-38.17667934,Newborough,Lowanna College,8821,222.0,186.0,205.0,192.0,180.0,133.0,1118.0,Lowanna College,26,2.5,33,88,25,97,NEWBOROUGH
Manningham,145.122306,-37.767428,Templestowe Lower,Templestowe College,8823,187.9,187.0,218.3,201.6,206.5,213.3,1214.6,Templestowe College,28,7.0,50,90,40,98,TEMPLESTOWE LOWER
Mount Alexander,144.227547,-37.050436,Castlemaine,Castlemaine Secondary College,8824,110.0,103.0,151.0,124.0,130.4,83.0,701.4,Castlemaine Secondary College,26,2.1,46,59,4,93,CASTLEMAINE
Baw Baw,145.9254852,-38.16519591,Warragul,Warragul Regional College,8827,89.0,130.0,119.0,120.4,124.8,101.0,684.2,Warragul Regional College,24,0.0,23,99,19,97,WARRAGUL
Ballarat,143.834472,-37.51922,Wendouree,Mount Rowan Secondary College,8828,141.0,127.0,140.0,139.0,105.6,58.0,710.6,Mount Rowan Secondary College,28,1.4,48,80,7,88,WENDOUREE
Buloke,143.359633,-36.270312,Charlton,Charlton College,8830,13.0,14.0,7.2,15.2,9.6,13.0,72.0,Charlton College,30,1.6,56,49,6,94,CHARLTON
Buloke,143.229098,-36.075704,Wycheproof,Wycheproof P-12 College,8831,6.0,3.0,10.0,13.8,12.2,9.6,54.6,Wycheproof P-12 College,30,2.6,50,83,< 4,100,WYCHEPROOF
Buloke,142.9099365,-35.98438249,Birchip,Birchip P-12 School,8832,16.4,8.0,16.0,14.0,10.0,17.0,81.4,Birchip P-12 School,31,10.4,53,100,5,100,BIRCHIP
Hindmarsh,141.65886,-36.33260253,Nhill,Nhill College,8833,27.0,29.0,23.0,25.0,28.6,14.0,146.6,Nhill College,23,0.0,62,97,< 4,92,NHILL
Wellington,147.068006,-38.108921,Sale,Sale College,8834,145.0,139.0,151.0,138.9,143.8,86.4,804.1,Sale College,24,0.7,58,97,10,98,SALE
Frankston,145.158453,-38.14632,Frankston,McClelland Secondary College,8835,223.0,214.0,175.0,198.4,163.0,157.6,1131.0,McClelland Secondary College,30,3.6,41,85,37,96,FRANKSTON
Casey,145.285075,-38.049734,Narre Warren South,Narre Warren South P-12 College,8839,233.0,266.0,271.0,271.0,324.0,331.0,1696.0,Narre Warren Sth P-12 College,27,2.3,59,91,89,92,NARRE WARREN SOUTH
Greater Geelong,144.41157,-38.018176,Lara,Lara Secondary College,8841,88.0,90.0,112.0,145.0,113.8,114.0,662.8,Lara Secondary College,25,1.5,25,40,16,92,LARA
Towong,147.910757,-36.192938,Corryong,Corryong College,8843,27.0,27.0,20.0,31.8,25.2,14.4,145.4,Corryong College,31,5.6,27,73,11,100,CORRYONG
Central Goldfields,143.722865,-37.042159,Maryborough,Maryborough Education Centre,8845,121.0,99.0,107.0,121.8,107.4,51.2,648.4,Maryborough Education Centre,26,2.1,42,50,18,84,MARYBOROUGH
Whittlesea,145.075679,-37.634935,South Morang,The Lakes South Morang College,8846,63.0,51.0,56.0,58.0,59.9,47.8,335.7,The Lakes South Morang College,30,2.7,38,70,< 4,100,SOUTH MORANG
Wyndham,144.601853,-37.873507,Wyndham Vale,Manor Lakes P-12 College,8848,278.0,260.8,352.0,305.0,295.4,216.0,1707.2,Manor Lakes P-12 College,24,3.2,47,59,49,92,WYNDHAM VALE
Merri-bek,144.9728,-37.7407,Coburg,Coburg High School,8849,236.0,227.0,204.0,218.9,212.0,180.6,1278.5,Coburg High School,30,8.0,83,78,13,99,COBURG
Hume,144.921334,-37.578645,Craigieburn,Mount Ridley P-12 College,8853,363.4,368.0,338.0,435.0,398.4,265.8,2168.6,Mount Ridley P-12 College,24,1.3,71,86,26,99,CRAIGIEBURN
Wyndham,144.6804061,-37.83335386,Tarneit,Tarneit Senior College,8854,0.0,0.0,0.0,263.0,265.0,413.0,941.0,Tarneit Senior College,23,0.7,67,44,53,98,TARNEIT
Campaspe,144.732423,-36.132394,Echuca,Echuca College,8855,80.0,86.0,103.0,119.0,114.8,90.8,593.6,Echuca College,24,0.7,51,78,7,99,ECHUCA
Monash,145.128686,-37.914221,Clayton,John Monash Science School,8856,0.0,0.0,0.0,197.0,231.0,231.5,659.5,John Monash Science School,36,22.5,99,100,-,100,CLAYTON
Hobsons Bay,144.818639,-37.861911,Altona,Altona College,8857,140.0,97.0,86.0,83.0,73.4,51.5,530.9,Altona College,26,3.9,41,81,4,100,ALTONA
Greater Dandenong,145.209011,-37.979418,Dandenong,Dandenong High School,8858,175.0,199.0,231.0,270.0,279.0,203.0,1357.0,Dandenong High School,25,1.7,73,77,27,95,DANDENONG
Hobsons Bay,144.7726329,-37.85617409,Laverton,Laverton P-12 College,8861,70.0,54.0,70.0,71.0,76.0,64.0,405.0,Laverton P-12 College,24,3.7,84,84,12,100,LAVERTON
Colac-Otway,143.5901021,-38.35149548,Colac,Colac Secondary College,8864,77.0,101.0,100.0,79.0,76.0,53.1,486.1,Colac Secondary College,23,0.0,33,79,9,93,COLAC
Casey,145.336563,-38.038502,Berwick,Nossal High School,8865,0.0,0.0,208.0,207.9,206.8,203.7,826.4,Nossal High School,36,27.6,100,64,-,100,BERWICK
