LGA_Name,X,Y,Address_Town,School_Name,School_No,Year 7 Total,Year 8 Total,Year 9 Total,Year 10 Total,Year 11 Total,Year 12 Total,Secondary Total,School,Median_VCE_study_score,Percentage_of_study_scores_of_40_and_over,Percentage_of_VCE_students_applying_for_tertiary_places_through_the_Victorian_Tertiary_Admissions_Centre_(VTAC),Percentage_of_Vocational_Education_and_Training_(VET)_units_of_competency_completed,Number_of_students_awarded_the_VCE_Vocational_Major_(VM),Percentage_of_satisfactory_VCE_completions,Locality
Darebin,145.00248,-37.770356,NORTHCOTE,Santa Maria College,1386,137.0,121.0,127.0,115.0,138.0,137.0,775.0,Santa Maria College,30,8.9,90,98,< 4,100,NORTHCOTE
Stonnington,145.0246967,-37.8353971,TOORAK,St Kevin's College,1415,269.0,252.0,274.0,276.0,282.0,273.0,1626.0,St Kevin's College,35,23.7,97,100,-,100,TOORAK
Kingston,145.068214,-37.991161,MENTONE,St Bede's College,1431,339.0,320.0,323.0,324.0,295.0,295.0,1896.0,St Bede's College,30,6.9,71,79,35,99,MENTONE
Moonee Valley,144.8832,-37.749392,ESSENDON,St Bernard's College,1471,280.0,279.0,244.0,269.0,259.0,248.0,1579.0,St Bernard's College,31,8.0,74,95,25,99,ESSENDON
Manningham,145.199541,-37.7918,DONVALE,Whitefriars College,1473,201.0,176.0,164.0,174.0,197.0,153.0,1065.0,Whitefriars College,30,7.0,80,95,12,99,DONVALE
Manningham,145.082675,-37.774782,BULLEEN,Marcellin College,1495,189.0,169.0,177.0,208.0,206.0,194.0,1143.0,Marcellin College,31,5.1,82,97,21,100,BULLEEN
Baw Baw,145.915266,-38.159029,WARRAGUL,Marist-Sion College,1497,221.0,212.0,191.0,171.0,157.0,136.0,1088.0,Marist - Sion College,27,2.1,57,92,18,95,WARRAGUL
Southern Grampians,142.0494536,-37.74203709,HAMILTON,Monivae College,1528,115.0,107.0,97.0,103.0,96.0,81.0,599.0,Monivae College,27,1.2,43,99,20,97,HAMILTON
Greater Dandenong,145.152017,-37.959071,SPRINGVALE,Killester College,1547,168.0,168.0,168.0,158.0,168.0,160.0,990.0,Killester College,30,5.3,96,97,4,100,SPRINGVALE
Greater Geelong,144.330481,-38.130078,HERNE HILL,Clonard College,1551,165.0,168.0,158.0,154.0,156.0,151.0,952.0,Clonard College,29,5.4,69,88,21,100,HERNE HILL
Monash,145.086083,-37.902163,HUGHESDALE,Sacred Heart Girls' College,1571,158.4,166.0,147.0,154.0,163.0,148.0,936.4,Sacred Heart Girls' College,32,10.6,94,96,10,99,HUGHESDALE
Greater Dandenong,145.226256,-37.990229,DANDENONG,St John's Regional College,1588,129.0,119.0,82.0,103.0,80.0,103.0,616.0,St John's Regional College,27,3.0,85,82,9,97,DANDENONG
East Gippsland,147.587656,-37.837096,BAIRNSDALE,Nagle College,1589,160.0,155.0,161.0,136.0,115.0,90.0,817.0,Nagle College,28,3.0,58,82,17,99,BAIRNSDALE
Whitehorse,145.174107,-37.84779,VERMONT SOUTH,Emmaus College,1592,260.0,258.0,252.0,240.0,251.0,229.0,1490.0,Emmaus College,31,9.8,73,84,28,100,VERMONT SOUTH
Moira,145.208748,-36.057656,NATHALIA,St Mary of the Angels College,1605,93.0,106.0,96.0,95.0,101.0,83.0,574.0,St Mary of the Angels School,26,2.1,62,72,22,99,NATHALIA
Maroondah,145.234935,-37.823058,RINGWOOD,Aquinas College,1608,302.0,293.0,296.0,270.0,287.0,224.2,1672.2,Aquinas College,29,5.1,76,71,34,99,RINGWOOD
Moonee Valley,144.897964,-37.756618,ABERFELDIE,Ave Maria College,1625,165.0,140.0,140.0,131.0,134.0,124.0,834.0,Ave Maria College,31,10.5,98,98,10,100,ABERFELDIE
Hobsons Bay,144.811674,-37.863902,ALTONA,Mount St Joseph Girls' College,1635,222.0,211.0,211.3,209.0,188.0,185.0,1226.3,Mount St Joseph Girls' College,31,7.1,86,100,8,98,ALTONA
Yarra Ranges,145.3588871,-37.9106377,BELGRAVE,Mater Christi College,1644,136.0,136.0,95.0,105.0,120.0,103.0,695.0,Mater Christi College,31,7.4,73,98,14,100,BELGRAVE
Knox,145.295093,-37.89049,FERNTREE GULLY,St Joseph's College,1646,204.0,189.0,177.0,159.0,145.0,123.0,997.0,St Joseph's College,28,1.0,65,86,5,95,ECHUCA
Monash,145.133255,-37.874671,MOUNT WAVERLEY,Avila College,1651,168.0,176.0,153.0,166.0,181.0,175.0,1019.0,Avila College,32,11.5,92,94,10,99,MOUNT WAVERLEY
Hobsons Bay,144.842389,-37.831623,ALTONA NORTH,Emmanuel College,1654,447.0,472.0,444.0,420.0,374.0,387.0,2544.0,Emmanuel College,28,4.6,74,97,50,99,ALTONA NORTH
Whittlesea,145.031414,-37.655184,EPPING,St Monica's College,1657,435.0,429.0,367.0,333.0,333.0,317.0,2214.0,St Monica's College,29,3.8,76,89,47,100,EPPING
Merri-bek,144.964562,-37.730398,COBURG,Mercy College,1661,62.0,82.0,73.0,63.0,61.0,75.0,416.0,Mercy College,29,6.2,97,89,< 4,89,COBURG
