Education_Sector,Entity_Type,School_No,School_Name,School_Type,School_Status,Address_Line_1,Address_Line_2,Address_Town,Address_State,Address_Postcode,Postal_Address_Line_1,Postal_Address_Line_2,Postal_Town,Postal_State,Postal_Postcode,Full_Phone_No,Region,Area,LGA_ID,LGA_Name,LGA_TYPE,X,Y,Total_Enrolments,Year 7 Total,Year 8 Total,Year 9 Total,Year 10 Total,Year 11 Total,Year 12 Total,Median_VCE_Study_Score,Pct_Study_Scores_40plus,Pct_VCE_VTAC_Applications,X,Y,LGA_Name
Catholic,2,1661,Mercy College,Secondary,O,760 Sydney Road,,COBURG,VIC,3058,760 Sydney Road,,COBURG,VIC,3058,03 9319 9299,NORTH-WESTERN VICTORIA,Hume Merri-bek,525,Merri-bek,Metro,144.964562,-37.730398,416,62,82,73,63,61,75,29,6.2,97,144.964562,-37.730398,Merri-bek
Catholic,2,1670,John Paul College,Secondary,O,165 Mc Mahons Road,,FRANKSTON,VIC,3199,PO Box 3105,,FRANKSTON EAST,VIC,3199,03 9784 0200,SOUTH-EASTERN VICTORIA,Bayside Peninsula,217,Frankston,Metro,145.138867,-38.13557,1318,250,253,242,224,177,172,28,4.6,67,145.138867,-38.13557,Frankston
Catholic,2,1673,Mazenod College,Secondary,O,Kernot Ave,,MULGRAVE,VIC,3170,PO Box 286,,MULGRAVE,VIC,3170,03 9560 0911,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,497,Monash,Metro,145.166144,-37.915204,1475,280,256,248,241,228,222,33,13.5,80,145.166144,-37.915204,Monash
Catholic,2,1684,MacKillop Catholic Regional College,Secondary,O,1 Russell Street,,WERRIBEE,VIC,3030,PO Box 522,,WERRIBEE,VIC,3030,03 8734 5200,SOUTH-WESTERN VICTORIA,Western Melbourne,726,Wyndham,Metro,144.6651016,-37.90950211,1768,328,322,313,293,243,269,,,,144.6651016,-37.90950211,Wyndham
Catholic,2,1694,Marian College,Secondary,O,11-49 Prince Street,,MYRTLEFORD,VIC,3737,PO Box 215,,MYRTLEFORD,VIC,3737,03 5752 1596,NORTH-EASTERN VICTORIA,Ovens Murray,11,Alpine,Non Metro,146.72536,-36.55334,0,0,0,0,0,0,0,,,,146.72536,-36.55334,Alpine
Catholic,2,1744,Galen Catholic College,Secondary,O,College Street,,WANGARATTA,VIC,3677,PO Box 630,,WANGARATTA,VIC,3676,03 5721 6322,NORTH-EASTERN VICTORIA,Ovens Murray,670,Wangaratta,Non Metro,146.310537,-36.338747,988,174,156,185,170,160,143,,,,146.310537,-36.338747,Wangaratta
Catholic,2,1765,Catholic Regional College St Albans,Secondary,O,10 Theodore Street,,ST ALBANS,VIC,3021,PO Box 252,,ST ALBANS,VIC,3021,03 9366 2544,SOUTH-WESTERN VICTORIA,Brimbank Melton,118,Brimbank,Metro,144.799086,-37.738892,578,178,151,131,118,0,0,,,,144.799086,-37.738892,Brimbank
Catholic,2,1766,St Francis Xavier College,Secondary,O,4 Beaconsfield Avenue,,BEACONSFIELD,VIC,3807,PO Box 85,,BEACONSFIELD,VIC,3807,03 9707 3111,SOUTH-EASTERN VICTORIA,Southern Melbourne,145,Cardinia,Metro,145.373106,-38.052002,2828,436,507,503,471,426,485,27,3.6,72,145.373106,-38.052002,Cardinia
Catholic,2,1800,Catholic College Wodonga,Secondary,O,1 Bowman Court,,WODONGA,VIC,3690,PO Box 591,,WODONGA,VIC,3689,02 6043 5500,NORTH-EASTERN VICTORIA,Ovens Murray,717,Wodonga,Non Metro,146.8623901,-36.12961895,1250,220,227,227,218,194,164,28,3.8,64,146.8623901,-36.12961895,Wodonga
Catholic,2,1801,Caroline Chisholm Catholic College,Secondary,O,204 Churchill Avenue,,BRAYBROOK,VIC,3019,204 Churchill Avenue,,BRAYBROOK,VIC,3019,03 9296 5311,SOUTH-WESTERN VICTORIA,Western Melbourne,433,Maribyrnong,Metro,144.8501,-37.785858,0,0,0,0,0,0,0,,,,144.8501,-37.785858,Maribyrnong
Catholic,2,1810,Loyola College,Secondary,O,325 Grimshaw Street,,WATSONIA,VIC,3087,325 Grimshaw Street,,WATSONIA,VIC,3087,03 9434 4466,NORTH-WESTERN VICTORIA,North Eastern Melbourne,66,Banyule,Metro,145.08073,-37.703396,1455,253,241,247,249,225,240,30,4.7,82,145.08073,-37.703396,Banyule
Catholic,2,1811,St Francis Catholic College,Secondary,O,109-141 Bulman's Road,,MELTON,VIC,3337,PO Box 530,,MELTON,VIC,3337,03 8099 6000,SOUTH-WESTERN VICTORIA,Brimbank Melton,465,Melton,Metro,144.550411,-37.677246,1864,485,399,349,241,215,175,29,3.0,72,144.550411,-37.677246,Melton
Catholic,2,1834,Catholic Regional College Institute of Training,Secondary,O,380 Sydenham Road,,SYDENHAM,VIC,3037,380 Sydenham Road,,SYDENHAM,VIC,3037,03 9361 0000,SOUTH-WESTERN VICTORIA,Brimbank Melton,118,Brimbank,Metro,144.771012,-37.699136,985,0,0,0,0,490,495,,,,144.771012,-37.699136,Brimbank
Catholic,2,1835,Catholic Regional College North Keilor,Secondary,O,Santa Monica Drive,,KEILOR NORTH,VIC,3036,PO Box 40,,TAYLORS LAKES,VIC,3038,03 9361 5900,SOUTH-WESTERN VICTORIA,Brimbank Melton,118,Brimbank,Metro,144.805062,-37.699943,644,165,168,155,156,0,0,,,,144.805062,-37.699943,Brimbank
Catholic,2,1899,Nazareth College,Secondary,O,Manning Drive,,NOBLE PARK NORTH,VIC,3174,PO Box 1289,,WAVERLEY GARDENS,VIC,3170,03 9795 8100,SOUTH-EASTERN VICTORIA,Southern Melbourne,267,Greater Dandenong,Metro,145.195459,-37.940226,980,192,176,164,175,148,125,28,1.8,69,145.195459,-37.940226,Greater Dandenong
Catholic,2,1903,Mary MacKillop Catholic Regional College,Secondary,O,115 Horn Street,,LEONGATHA,VIC,3953,Private Bag 7,,LEONGATHA,VIC,3953,03 5662 4255,SOUTH-EASTERN VICTORIA,Inner Gippsland,617,South Gippsland,Non Metro,145.963538,-38.466733,558,115,91,96,88,88,80,,,,145.963538,-38.466733,South Gippsland
Catholic,2,1917,St Mary MacKillop College,Secondary,O,53 McCrae Street,,SWAN HILL,VIC,3585,PO Box 971,,SWAN HILL,VIC,3585,03 5032 9771,NORTH-WESTERN VICTORIA,Mallee,661,Swan Hill,Non Metro,143.556795,-35.341915,548,120,118,92,94,64,60,29,5.0,69,143.556795,-35.341915,Swan Hill
Catholic,2,1920,St Peter's College,Secondary,O,1005 Cranbourne-Frankston Road,,CRANBOURNE,VIC,3977,PO Box 615,,CRANBOURNE,VIC,3977,03 5990 7777,SOUTH-EASTERN VICTORIA,Southern Melbourne,161,Casey,Metro,145.256866,-38.108411,2109,420,392,348,331,305,313,26,2.3,75,145.256866,-38.108411,Casey
Catholic,2,1949,Penola Catholic College,Secondary,O,29 GIbson Street,,BROADMEADOWS,VIC,3047,PO Box 637,,GLENROY,VIC,3046,03 9301 2777,NORTH-WESTERN VICTORIA,Hume Merri-bek,327,Hume,Metro,144.918263,-37.687856,1390,223,237,218,236,231,245,28,3.1,76,144.918263,-37.687856,Hume
Catholic,2,1962,Thomas Carr College,Secondary,O,35 Thomas Carr Drive,,TARNEIT,VIC,3029,35 Thomas Carr Drive,,TARNEIT,VIC,3029,03 8734 2444,SOUTH-WESTERN VICTORIA,Western Melbourne,726,Wyndham,Metro,144.702055,-37.847676,1353,256,255,249,219,204,170,26,2.0,86,144.702055,-37.847676,Wyndham
Catholic,2,2001,Lavalla Catholic College,Secondary,O,33 Kosciusko Street,,TRARALGON,VIC,3844,PO Box 1080,,TRARALGON,VIC,3844,03 5174 5272,SOUTH-EASTERN VICTORIA,Inner Gippsland,381,Latrobe,Non Metro,146.514247,-38.200895,1387,258,265,250,247,198,169,30,4.4,70,146.514247,-38.200895,Latrobe
Catholic,2,2010,Antonine College,Pri/Sec,O,71 Grandview Avenue,,PASCOE VALE SOUTH,VIC,3044,PO Box 197,,MORELAND,VIC,3058,03 9354 1377,NORTH-WESTERN VICTORIA,Hume Merri-bek,525,Merri-bek,Metro,144.9427365,-37.74119138,493,88,78,91,91,67,78,26,3.3,75,144.9427365,-37.74119138,Merri-bek
Catholic,2,2032,Marymede Catholic College,Pri/Sec,O,60 Williamsons Road,,SOUTH MORANG,VIC,3752,60 Williamsons Road,,SOUTH MORANG,VIC,3752,03 9407 9000,NORTH-WESTERN VICTORIA,North Eastern Melbourne,707,Whittlesea,Metro,145.091027,-37.643315,1564,385,329,231,244,200,175,28,3.3,77,145.091027,-37.643315,Whittlesea
Catholic,2,2044,Catholic Regional College Caroline Springs,Secondary,O,10 College Street,,CAROLINE SPRINGS,VIC,3023,PO Box 3198,,CAROLINE SPRINGS,VIC,3023,03 9217 8000,SOUTH-WESTERN VICTORIA,Brimbank Melton,465,Melton,Metro,144.739602,-37.728879,1084,287,278,261,258,0,0,,,,144.739602,-37.728879,Melton
Catholic,2,2051,Kolbe Catholic College,Secondary,O,Lysterfield Drive,,GREENVALE LAKES,VIC,3059,PO Box 480,,CRAIGIEBURN,VIC,3064,03 8339 3060,NORTH-WESTERN VICTORIA,Hume Merri-bek,327,Hume,Metro,144.909467,-37.615321,0,0,0,0,0,0,0,27,4.8,81,144.909467,-37.615321,Hume
Catholic,2,2098,Marist College Bendigo,Pri/Sec,O,95 Golf Links Road,,MAIDEN GULLY,VIC,3551,39 Patas Road,,MAIDEN GULLY,VIC,3551,03 5400 1252,NORTH-WESTERN VICTORIA,Loddon Campaspe,262,Greater Bendigo,Non Metro,144.2216905,-36.73171249,809,163,166,136,149,92,102,27,2.8,64,144.2216905,-36.73171249,Greater Bendigo
Catholic,2,2224,St Anne's College,Pri/Sec,O,72 Wendouree Drive,,KIALLA,VIC,3631,72 Wendouree Drive,,KIALLA,VIC,3631,03 4812 2993,NORTH-EASTERN VICTORIA,Goulburn,283,Greater Shepparton,Non Metro,145.400337,-36.436121,261,34,53,51,43,45,35,25,0.7,60,145.400337,-36.436121,Greater Shepparton
Catholic,2,2231,Iona College Geelong,Secondary,O,242-280 Horseshoe Bend Road,,CHARLEMONT,VIC,3217,242-280 Horseshoe Bend Road,,CHARLEMONT,VIC,3217,03 5299 0004,SOUTH-WESTERN VICTORIA,Barwon,275,Greater Geelong,Non Metro,144.356711,-38.219125,0,0,0,0,0,0,0,33,6.1,-,144.356711,-38.219125,Greater Geelong
Catholic,2,2240,Ignatius Learning Centre,Secondary,O,326 Church Street,,RICHMOND,VIC,3121,326 Church Street,,RICHMOND,VIC,3121,03-,NORTH-WESTERN VICTORIA,North Eastern Melbourne,735,Yarra,Metro,144.998477,-37.821915,33,0,0,0,0,28,5,-,-,-,144.998477,-37.821915,Yarra
Government,1,776,Bright P-12 College,Pri/Sec,O,46 Bakers Gully Road,,Bright,VIC,3741,P O Box 30,,BRIGHT,VIC,3741,03 5755 1166,NORTH-EASTERN VICTORIA,Ovens Murray,11,Alpine,Non Metro,146.960928,-36.733105,266,49,36,41,52,36,52,29,5.1,44,146.960928,-36.733105,Alpine
Government,1,854,Lake Bolac College,Pri/Sec,O,90 Montgomery Street,,Lake Bolac,VIC,3351,90 Montgomery Street,,LAKE BOLAC,VIC,3351,03 5350 2302,SOUTH-WESTERN VICTORIA,Central Highlands,26,Ararat,Non Metro,142.837903,-37.720241,32,9,7,4,6,4,2,,,,142.837903,-37.720241,Ararat
Government,1,932,Bannockburn P-12 College,Pri/Sec,O,139 Milton Street,,Bannockburn,VIC,3331,139 Milton St,,BANNOCKBURN,VIC,3331,03 5281 1755,SOUTH-WESTERN VICTORIA,Central Highlands,249,Golden Plains,Non Metro,144.160668,-38.042004,0,0,0,0,0,0,0,23,1.5,40,144.160668,-38.042004,Golden Plains
Government,1,1549,Murtoa College,Pri/Sec,O,Webb Street,,Murtoa,VIC,3390,P O Box 156,,MURTOA,VIC,3390,03 5385 2381,SOUTH-WESTERN VICTORIA,Wimmera South West,763,Yarriambiack,Non Metro,142.475745,-36.623495,146,19,18,36,23,29,21,,,,142.475745,-36.623495,Yarriambiack
Government,1,1712,Pyramid Hill College,Pri/Sec,O,97-101 Kelly Street,,Pyramid Hill,VIC,3575,97-101 Kelly Street,,PYRAMID HILL,VIC,3575,03 5455 7377,NORTH-WESTERN VICTORIA,Loddon Campaspe,394,Loddon,Non Metro,144.113679,-36.04736,268,58,59,37,39,33,42,I/D,I/D,I/D,144.113679,-36.04736,Loddon
Government,1,3515,Mallacoota P-12 College,Pri/Sec,O,25 Bucknall Street,,Mallacoota,VIC,3892,Locked Bag 1001,,MALLACOOTA,VIC,3892,03 5158 0254,SOUTH-EASTERN VICTORIA,Outer Gippsland,211,East Gippsland,Non Metro,149.754296,-37.559427,53,13,7,11,7,8,7,33,18.2,50,149.754296,-37.559427,East Gippsland
Government,1,3920,Cann River P-12 College,Pri/Sec,O,20-24 Tamboon Road,,Cann River,VIC,3890,20-24 Tamboon,,CANN RIVER,VIC,3890,03 5158 6245,SOUTH-EASTERN VICTORIA,Outer Gippsland,211,East Gippsland,Non Metro,149.153022,-37.5697,19,2,4,4,5,2,2,24,0.0,100,149.153022,-37.5697,East Gippsland
Government,1,4159,Point Cook Prep - Year 9 College,Pri/Sec,O,18 - 50 Ponsford Drive,,Point Cook,VIC,3030,P O Box 6497,,POINT COOK,VIC,3030,03 8348 7100,SOUTH-WESTERN VICTORIA,Western Melbourne,726,Wyndham,Metro,144.7244931,-37.89380261,430,163,128,139,0,0,0,,,,144.7244931,-37.89380261,Wyndham
Government,1,5315,Baden Powell P-9 College,Pri/Sec,O,31 Sycamore Street,,Hoppers Crossing,VIC,3029,P O Box 4064,,HOPPERS CROSSING DC,VIC,3029,03 9748 8688,SOUTH-WESTERN VICTORIA,Western Melbourne,726,Wyndham,Metro,144.691019,-37.859838,211,69,67,75,0,0,0,,,,144.691019,-37.859838,Wyndham
Government,1,5375,Derrinallum P-12 College,Pri/Sec,O,Campbell Street,,Derrinallum,VIC,3325,Campbell Street,,DERRINALLUM,VIC,3325,03 5597 6625,SOUTH-WESTERN VICTORIA,Wimmera South West,183,Corangamite,Non Metro,143.216741,-37.939591,23,4,2,5,6,3,3,,,,143.216741,-37.939591,Corangamite
Government,1,5376,Mortlake P-12 College,Pri/Sec,O,10 Hood Avenue,,Mortlake,VIC,3272,P O Box 84,,MORTLAKE,VIC,3272,03 5599 2204,SOUTH-WESTERN VICTORIA,Wimmera South West,549,Moyne,Non Metro,142.80955,-38.086366,94,13,16,18,18,17,12,,,,142.80955,-38.086366,Moyne
Government,1,5403,Tyrrell College,Pri/Sec,O,10 Sutcliff Street,,Sea Lake,VIC,3533,P O Box 231,,SEA LAKE,VIC,3533,03 5070 2106,NORTH-WESTERN VICTORIA,Mallee,127,Buloke,Non Metro,142.853519,-35.509276,67,12,9,15,14,6,10,28,3.3,63,142.853519,-35.509276,Buloke
Government,1,5432,Edenhope College,Pri/Sec,O,40-48 Lake Street,,Edenhope,VIC,3318,Locked Bag 1,,EDENHOPE,VIC,3318,03 5585 1277,SOUTH-WESTERN VICTORIA,Wimmera South West,689,West Wimmera,Non Metro,141.2985627,-37.03342876,73,13,14,6,15,14,11,25,0.0,33,141.2985627,-37.03342876,West Wimmera
Government,1,5433,Murrayville Community College,Pri/Sec,O,20 Francis Street,,Murrayville,VIC,3512,P O Box 116,,MURRAYVILLE,VIC,3512,03 5095 2001,NORTH-WESTERN VICTORIA,Mallee,478,Mildura,Non Metro,141.1773365,-35.26557452,41,3,8,9,10,7,4,28,0.0,-,141.1773365,-35.26557452,Mildura
Government,1,5434,Hawkesdale P12 College,Pri/Sec,O,65 Mitchell Street,,Hawkesdale,VIC,3287,P O Box 30,,HAWKESDALE,VIC,3287,03 5560 7225,SOUTH-WESTERN VICTORIA,Wimmera South West,549,Moyne,Non Metro,142.319173,-38.106976,115,20,30,18,15,17,14,,,,142.319173,-38.106976,Moyne
Government,1,5435,Carwatha College P-12,Pri/Sec,O,43-81 Browns Road,,Noble Park,VIC,3174,43-81 Browns Road,,NOBLE PARK,VIC,3174,03 9795 5848,SOUTH-EASTERN VICTORIA,Southern Melbourne,267,Greater Dandenong,Metro,145.188726,-37.942845,451,67,61,72,85,96,69,27,0.5,65,145.188726,-37.942845,Greater Dandenong
Government,1,5479,Timbarra P-9 College,Pri/Sec,O,159-197 Parkhill Drive,,Berwick,VIC,3806,P O Box 259,,BERWICK,VIC,3806,03 9704 2744,SOUTH-EASTERN VICTORIA,Southern Melbourne,161,Casey,Metro,145.3226276,-38.01557462,268,93,113,62,0,0,0,,,,145.3226276,-38.01557462,Casey
Government,1,5486,Carranballac P-9 College,Pri/Sec,O,Cnr Foxwood Dve & Dunnings Rd,,Point Cook,VIC,3030,PO Box 6106,,Point Cook,VIC,3030,03 9395 3533,SOUTH-WESTERN VICTORIA,Western Melbourne,726,Wyndham,Metro,144.743132,-37.884736,338,110,114,114,0,0,0,,,,144.743132,-37.884736,Wyndham
Government,1,5501,Truganina P-9 College,Pri/Sec,O,55 Clearwood Drive,,Truganina,VIC,3029,55 Clearwood Drive,,Truganina,VIC,3029,03 9368 9800,SOUTH-WESTERN VICTORIA,Western Melbourne,726,Wyndham,Metro,144.7190874,-37.83876718,545,186,168,191,0,0,0,,,,144.7190874,-37.83876718,Wyndham
Government,1,5520,Yuille Park Community College,Pri/Sec,O,39 Violet Grove,,Wendouree,VIC,3355,P O Box 42,,Wendouree,VIC,3355,03 5339 5555,SOUTH-WESTERN VICTORIA,Central Highlands,57,Ballarat,Non Metro,143.820396,-37.527504,86,10,11,14,12,15,24,,,,143.820396,-37.527504,Ballarat
Government,1,5528,Alamanda K-9 College,Pri/Sec,O,86-100 Alamanda Boulevard,,Point Cook,VIC,3030,PO Box 6606,,POINT COOK,VIC,3030,03 8376 5200,SOUTH-WESTERN VICTORIA,Western Melbourne,726,Wyndham,Metro,144.741329,-37.908238,887,361,298,228,0,0,0,,,,144.741329,-37.908238,Wyndham
Government,1,5552,Hazel Glen College,Pri/Sec,O,115 Eminence Blvd,,Doreen,VIC,3754,115 Eminence Blvd,,Doreen,VIC,3754,03 9717 7500,NORTH-WESTERN VICTORIA,North Eastern Melbourne,707,Whittlesea,Metro,145.119368,-37.597553,1304,211,237,247,227,204,178,26,2.7,58,145.119368,-37.597553,Whittlesea
Government,1,6203,Apollo Bay P-12 College,Pri/Sec,O,20 Pengilley Avenue,,Apollo Bay,VIC,3233,20 Pengilley Avenue,,APOLLO BAY,VIC,3233,03 5237 6483,SOUTH-WESTERN VICTORIA,Barwon,175,Colac-Otway,Non Metro,143.660507,-38.753524,158,31,20,32,25,26,24,30,10.7,64,143.660507,-38.753524,Colac-Otway
Government,1,6212,Collingwood College,Pri/Sec,O,Cnr Cromwell St/McCutcheon Way,,Collingwood,VIC,3066,Private Bag 63,,ABBOTSFORD,VIC,3067,03 9417 6681,NORTH-WESTERN VICTORIA,North Eastern Melbourne,735,Yarra,Metro,144.990497,-37.802985,450,53,70,63,80,105,78,28,4.0,64,144.990497,-37.802985,Yarra
Government,1,6217,East Loddon P-12 College,Pri/Sec,O,793 Dingee Road,,Dingee,VIC,3571,793 Dingee Road,,DINGEE,VIC,3571,03 5431 4444,NORTH-WESTERN VICTORIA,Loddon Campaspe,394,Loddon,Non Metro,144.141446,-36.372222,144,28,18,23,38,18,19,28,1.7,65,144.141446,-36.372222,Loddon
Government,1,6223,Goroke P-12 College,Pri/Sec,O,55 Natimuk-Frances Road,,Goroke,VIC,3412,P O Box 132,,GOROKE,VIC,3412,03 5386 1024,SOUTH-WESTERN VICTORIA,Wimmera South West,689,West Wimmera,Non Metro,141.48354,-36.715786,27,6,7,6,3,2,2,,,,141.48354,-36.715786,West Wimmera
Government,1,6231,Lavers Hill K-12 College,Pri/Sec,O,Great Ocean Road,,Lavers Hill,VIC,3238,Great Ocean Road,,LAVERS HILL,VIC,3238,03 5237 3213,SOUTH-WESTERN VICTORIA,Barwon,175,Colac-Otway,Non Metro,143.383051,-38.681844,35,2,2,4,8,7,12,I/D,I/D,-,143.383051,-38.681844,Colac-Otway
Government,1,6235,Manangatang P-12 College,Pri/Sec,O,4105 Mallee Highway,,Manangatang,VIC,3546,4105 Mallee Highway,,MANANGATANG,VIC,3546,03 5035 1270,NORTH-WESTERN VICTORIA,Mallee,661,Swan Hill,Non Metro,142.884879,-35.056234,26,4,6,4,7,4,1,,,,142.884879,-35.056234,Swan Hill
Government,1,6236,Terang College,Pri/Sec,O,45 Strong Street,,Terang,VIC,3264,P O Box 124,,TERANG,VIC,3264,03 5592 1349,SOUTH-WESTERN VICTORIA,Wimmera South West,183,Corangamite,Non Metro,142.921395,-38.246282,141,16,23,33,38,13,17,,,,142.921395,-38.246282,Corangamite
Government,1,6238,Rushworth P-12 College,Pri/Sec,O,45 Heily Street,,Rushworth,VIC,3612,P O Box 20,,RUSHWORTH,VIC,3612,03 5856 1230,NORTH-WESTERN VICTORIA,Loddon Campaspe,137,Campaspe,Non Metro,145.014399,-36.583317,139,29,24,28,20,23,15,-,-,-,145.014399,-36.583317,Campaspe
Government,1,6242,Macleod College,Pri/Sec,O,Carwarp Street,,Macleod,VIC,3085,P O Box 805,,MACLEOD,VIC,3085,03 9459 0222,NORTH-WESTERN VICTORIA,North Eastern Melbourne,66,Banyule,Metro,145.072218,-37.724746,465,82,70,89,86,74,64,28,1.8,78,145.072218,-37.724746,Banyule
Government,1,6252,Sherbrooke Community School,Pri/Sec,O,311 Mt Dandenong Tourist Road,,Sassafras,VIC,3787,311 Mt Dandenong Tourist Road,,SASSAFRAS,VIC,3787,03 9755 2007,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,745,Yarra Ranges,Metro,145.349444,-37.868244,90,7,11,15,24,19,14,26,0.0,42,145.349444,-37.868244,Yarra Ranges
Government,1,6257,Werrimull P-12 School,Pri/Sec,O,5 McDonald Street,,Werrimull,VIC,3496,Post Office,,WERRIMULL,VIC,3496,03 5028 1251,NORTH-WESTERN VICTORIA,Mallee,478,Mildura,Non Metro,141.593839,-34.390411,14,3,4,2,0,5,0,,,,141.593839,-34.390411,Mildura
Government,1,6259,Camperdown College,Pri/Sec,O,1 Wilson Street,,Camperdown,VIC,3260,P O Box 83,,CAMPERDOWN,VIC,3260,03 5593 1617,SOUTH-WESTERN VICTORIA,Wimmera South West,183,Corangamite,Non Metro,143.145435,-38.239731,189,30,42,26,33,30,28,28,0.0,56,143.145435,-38.239731,Corangamite
Government,1,6260,Timboon P-12 School,Pri/Sec,O,Bailey Street,,Timboon,VIC,3268,P O Box 82,,TIMBOON,VIC,3268,03 5598 3381,SOUTH-WESTERN VICTORIA,Wimmera South West,183,Corangamite,Non Metro,142.975889,-38.484056,242,45,37,44,38,47,29,24,1.6,53,142.975889,-38.484056,Corangamite
Government,1,6261,Virtual School Victoria,Pri/Sec,O,315 Clarendon Street,,Thornbury,VIC,3071,315 Clarendon Street,,THORNBURY,VIC,3071,03 9965 0000,NORTH-WESTERN VICTORIA,North Eastern Melbourne,189,Darebin,Metro,145.025701,-37.76204,2798,53,137,272,399,886,1049,27,3.3,34,145.025701,-37.76204,Darebin
Government,1,6262,Wedderburn College,Pri/Sec,O,15-29 Hospital Street,,Wedderburn,VIC,3518,P O Box 20,,WEDDERBURN,VIC,3518,03 5494 3011,NORTH-WESTERN VICTORIA,Loddon Campaspe,394,Loddon,Non Metro,143.61877,-36.417022,114,16,27,19,17,21,13,20,0.0,50,143.61877,-36.417022,Loddon
Government,1,7028,Mount Erin Secondary College,Secondary,O,43 Robinsons Road,,Frankston South,VIC,3199,43 Robinsons Road,,FRANKSTON SOUTH,VIC,3199,03 5971 6000,SOUTH-EASTERN VICTORIA,Bayside Peninsula,217,Frankston,Metro,145.14663,-38.174118,492,44,79,98,87,98,85,,,,145.14663,-38.174118,Frankston
Government,1,7050,Box Hill Senior Secondary College,Secondary,O,Dunloe Avenue,,Mont Albert North,VIC,3129,DUNLOE AVENUE,,MONT ALBERT NORTH,VIC,3129,03 9890 0571,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,698,Whitehorse,Metro,145.111907,-37.809243,272,0,0,17,69,91,95,,,,145.111907,-37.809243,Whitehorse
Government,1,7081,Edgars Creek Secondary College,Secondary,O,2 Steen Avenue,,Wollert,VIC,3750,Macedon Pde and Edgars Rd,,Wollert,VIC,3750,03 9134 8200,NORTH-WESTERN VICTORIA,North Eastern Melbourne,707,Whittlesea,Metro,145.005071,-37.609492,1335,218,203,230,263,237,183,26,1.0,61,145.005071,-37.609492,Whittlesea
Government,1,7082,Elevation Secondary College,Secondary,O,199 Elevation Boulevard,,Craigieburn,VIC,3064,PO Box 690,,Craigieburn,VIC,3064,03 8339 8000,NORTH-WESTERN VICTORIA,Hume Merri-bek,327,Hume,Metro,144.890252,-37.598288,1175,211,253,220,198,177,115,30,9.4,-,144.890252,-37.598288,Hume
Government,1,7086,Clyde Secondary College,Secondary,O,21 Fernlea Homestead Road,,Clyde,VIC,3978,21 Fernlea Homestead Road,,Clyde,VIC,3978,03 8560 0600,SOUTH-EASTERN VICTORIA,Southern Melbourne,161,Casey,Metro,145.338863,-38.129547,1069,329,286,231,223,0,0,,,,145.338863,-38.129547,Casey
Government,1,7088,Cobden Technical School,Secondary,O,Mckenzie Street,,Cobden,VIC,3266,P O Box 106,,COBDEN,VIC,3266,03 5595 1202,SOUTH-WESTERN VICTORIA,Wimmera South West,183,Corangamite,Non Metro,143.0636059,-38.32403633,118,23,16,23,16,27,13,24,0.0,20,143.0636059,-38.32403633,Corangamite
Government,1,7108,Lyndhurst Secondary College,Secondary,O,950 South Gippsland Highway,,Cranbourne,VIC,3977,P O Box 711,,CRANBOURNE,VIC,3977,03 5996 0144,SOUTH-EASTERN VICTORIA,Southern Melbourne,161,Casey,Metro,145.271028,-38.075386,841,140,133,149,139,161,119,27,1.5,46,145.271028,-38.075386,Casey
Government,1,7115,Daylesford Secondary College,Secondary,O,39 Smith Street,,Daylesford,VIC,3460,P O Box 349,,DAYLESFORD,VIC,3460,03 5348 2367,SOUTH-WESTERN VICTORIA,Central Highlands,291,Hepburn,Non Metro,144.151851,-37.33466597,425,64,88,75,80,69,48,29,3.5,49,144.151851,-37.33466597,Hepburn
Government,1,7122,Dromana Secondary College,Secondary,O,110 Harrisons Road,,Dromana,VIC,3936,110 Harrisons Road,,DROMANA,VIC,3936,03 5987 2805,SOUTH-EASTERN VICTORIA,Bayside Peninsula,534,Mornington Peninsula,Metro,145.013582,-38.342636,1808,278,287,324,316,296,306,32,8.7,58,145.013582,-38.342636,Mornington Peninsula
Government,1,7183,Grovedale College,Secondary,O,19 Wingarra Drive,,Grovedale,VIC,3216,19 Wingarra Drive,,GROVEDALE,VIC,3216,03 5245 4545,SOUTH-WESTERN VICTORIA,Barwon,275,Greater Geelong,Non Metro,144.327441,-38.210399,714,147,128,121,119,109,90,25,1.1,49,144.327441,-38.210399,Greater Geelong
Government,1,7198,Irymple Secondary College,Secondary,O,975 - 1011  Karadoc Ave,,Irymple,VIC,3498,975 - 1011  Karadoc Ave,,IRYMPLE,VIC,3498,03 5024 5407,NORTH-WESTERN VICTORIA,Mallee,478,Mildura,Non Metro,142.1647031,-34.23232674,627,144,166,156,161,0,0,-,-,-,142.1647031,-34.23232674,Mildura
Government,1,7205,Crusoe 7-10 Secondary College,Secondary,O,57 - 75 Olympic Parade,,Kangaroo Flat,VIC,3555,"P O Box 1167,",,KANGAROO FLAT,VIC,3555,03 5447 7722,NORTH-WESTERN VICTORIA,Loddon Campaspe,262,Greater Bendigo,Non Metro,144.23367,-36.788647,927,243,218,248,218,0,0,,,,144.23367,-36.788647,Greater Bendigo
