Education_Sector,Entity_Type,School_No,School_Name,School_Type,School_Status,Address_Line_1,Address_Line_2,Address_Town,Address_State,Address_Postcode,Postal_Address_Line_1,Postal_Address_Line_2,Postal_Town,Postal_State,Postal_Postcode,Full_Phone_No,Region,Area,LGA_ID,LGA_Name,LGA_TYPE,X,Y,Total_Enrolments,Year 7 Total,Year 8 Total,Year 9 Total,Year 10 Total,Year 11 Total,Year 12 Total,Median_VCE_Study_Score,Pct_Study_Scores_40plus,Pct_VCE_VTAC_Applications,X,Y,LGA_Name
Catholic,2,411,Marian College,Secondary,O,304 Barkly Street,,ARARAT,VIC,3377,PO Box 314,,ARARAT,VIC,3377,03 5352 3861,SOUTH-WESTERN VICTORIA,Central Highlands,26,Ararat,Non Metro,142.937766,-37.284744,372,68,63,67,61,58,55,,,,142.937766,-37.284744,Ararat
Catholic,2,467,Academy of Mary Immaculate,Secondary,O,88 Nicholson Street,,FITZROY,VIC,3065,88 Nicholson Street,,FITZROY,VIC,3065,03 9412 7100,NORTH-WESTERN VICTORIA,North Eastern Melbourne,735,Yarra,Metro,144.974409,-37.803711,613,87,79,100,107,119,121,32,11.3,93,144.974409,-37.803711,Yarra
Catholic,2,474,Mount Lilydale Mercy College,Secondary,O,120 Anderson Street,,LILYDALE,VIC,3140,120 Anderson Street,,LILYDALE,VIC,3140,03 9735 4022,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,745,Yarra Ranges,Metro,145.3577545,-37.75075881,1576,286,286,277,272,246,209,29,2.7,74,145.3577545,-37.75075881,Yarra Ranges
Catholic,2,495,Trinity College Colac,Secondary,O,119 Hart Street,,COLAC,VIC,3250,PO Box 23,,COLAC,VIC,3250,03 5231 4977,SOUTH-WESTERN VICTORIA,Barwon,175,Colac-Otway,Non Metro,143.576934,-38.352034,759,151,136,115,137,129,91,28,1.3,57,143.576934,-38.352034,Colac-Otway
Catholic,2,500,Kilbreda College,Secondary,O,118 Mentone Parade,,MENTONE,VIC,3194,PO Box 248,,MENTONE,VIC,3194,03 9581 7766,SOUTH-EASTERN VICTORIA,Bayside Peninsula,343,Kingston,Metro,145.065712,-37.984153,938,165,174,159,148,158,134,32,10.3,82,145.065712,-37.984153,Kingston
Catholic,2,501,Padua College,Secondary,O,62 Oakbank Road,,MORNINGTON,VIC,3931,Private Mail Bag No 4,,MORNINGTON,VIC,3931,03 5976 0100,SOUTH-EASTERN VICTORIA,Bayside Peninsula,534,Mornington Peninsula,Metro,145.0720043,-38.21825666,2553,493,466,405,438,415,336,29,4.6,62,145.0720043,-38.21825666,Mornington Peninsula
Catholic,2,515,Notre Dame College,Secondary,O,139 Knight Street,,SHEPPARTON,VIC,3630,139 Knight Street,,SHEPPARTON,VIC,3630,03 5822 8400,NORTH-EASTERN VICTORIA,Goulburn,283,Greater Shepparton,Non Metro,145.4076363,-36.37470646,1696,306,281,293,306,272,238,28,4.1,61,145.4076363,-36.37470646,Greater Shepparton
Catholic,2,518,Sacred Heart College,Secondary,O,Piper Street,,YARRAWONGA,VIC,3730,PO Box 286,,YARRAWONGA,VIC,3730,03 5742 1300,NORTH-EASTERN VICTORIA,Goulburn,490,Moira,Non Metro,146.0092056,-36.00865887,244,53,54,42,34,32,29,27,1.2,61,146.0092056,-36.00865887,Moira
Catholic,2,548,St Ignatius College Geelong,Secondary,O,27 Peninsula Drive,,DRYSDALE,VIC,3222,27 Peninsula Drive,,DRYSDALE,VIC,3222,03 5251 1136,SOUTH-WESTERN VICTORIA,Barwon,275,Greater Geelong,Non Metro,144.5578975,-38.18870264,1457,260,258,244,251,233,211,,,,144.5578975,-38.18870264,Greater Geelong
Catholic,2,576,Catholic Ladies' College Ltd,Secondary,O,19 Diamond Street,,ELTHAM,VIC,3095,19 Diamond Street,,ELTHAM,VIC,3095,03 9439 4077,NORTH-WESTERN VICTORIA,North Eastern Melbourne,571,Nillumbik,Metro,145.143563,-37.711525,912,187,197,163,130,106,129,,,,145.143563,-37.711525,Nillumbik
Catholic,2,595,St Joseph's College,Secondary,O,21 Dickson Street,,ECHUCA,VIC,3564,21 Dickson Street,,ECHUCA,VIC,3564,03 5482 2577,NORTH-WESTERN VICTORIA,Loddon Campaspe,137,Campaspe,Non Metro,144.743369,-36.118153,1184,235,222,243,195,157,132,28,1.0,65,144.743369,-36.118153,Campaspe
Catholic,2,605,St Aloysius College,Secondary,O,31 Curran Street,,NORTH MELBOURNE,VIC,3051,PO Box 2072 Hotham Hill PO,,NORTH MELBOURNE,VIC,3051,03 9325 9200,SOUTH-WESTERN VICTORIA,Western Melbourne,460,Melbourne,Metro,144.942875,-37.792892,682,179,157,154,76,55,61,31,8.6,97,144.942875,-37.792892,Melbourne
Catholic,2,625,Catholic College Sale,Secondary,O,51-53 Desailly Street,,SALE,VIC,3850,PO Box 594,,SALE,VIC,3850,03 5143 9700,SOUTH-EASTERN VICTORIA,Outer Gippsland,681,Wellington,Non Metro,147.063779,-38.108707,893,168,165,159,157,130,114,29,7.0,58,147.063779,-38.108707,Wellington
Catholic,2,646,St Augustine's College,Pri/Sec,O,Church Street,,KYABRAM,VIC,3620,PO Box 447,,KYABRAM,VIC,3620,03 5851 3000,NORTH-WESTERN VICTORIA,Loddon Campaspe,137,Campaspe,Non Metro,145.044713,-36.30955,371,69,69,61,74,47,51,27,1.5,70,145.044713,-36.30955,Campaspe
Catholic,2,690,Mercy Regional College,Secondary,O,Henderson Street,,CAMPERDOWN,VIC,3260,PO Box 152,,CAMPERDOWN,VIC,3260,03 5593 2011,SOUTH-WESTERN VICTORIA,Wimmera South West,183,Corangamite,Non Metro,143.139564,-38.235001,345,76,54,63,51,56,45,27,5.0,61,143.139564,-38.235001,Corangamite
Catholic,2,707,St Columba's College,Secondary,O,2 Leslie Road,,ESSENDON,VIC,3040,PO Box 89,,ESSENDON,VIC,3040,03 9337 5311,SOUTH-WESTERN VICTORIA,Western Melbourne,506,Moonee Valley,Metro,144.91429,-37.757202,1043,171,192,171,166,171,172,31,7.0,91,144.91429,-37.757202,Moonee Valley
Catholic,2,733,Genazzano FCJ College,Pri/Sec,O,301 Cotham Road,,KEW,VIC,3101,301 Cotham Road,,KEW,VIC,3101,03 8862 1000,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,111,Boroondara,Metro,145.055783,-37.808973,515,55,58,96,89,96,121,,,,145.055783,-37.808973,Boroondara
Catholic,2,914,Our Lady of Mercy College,Secondary,O,52 Cape Street,,HEIDELBERG,VIC,3084,PO Box 293,,HEIDELBERG,VIC,3084,03 9459 2511,NORTH-WESTERN VICTORIA,North Eastern Melbourne,66,Banyule,Metro,145.067586,-37.75793,1196,212,209,199,202,180,194,32,9.6,93,145.067586,-37.75793,Banyule
Catholic,2,956,De La Salle College,Pri/Sec,O,1318 High Street,,MALVERN,VIC,3144,1318 High Street,,MALVERN,VIC,3144,03 9508 2100,SOUTH-EASTERN VICTORIA,Bayside Peninsula,635,Stonnington,Metro,145.032183,-37.857677,865,138,138,151,123,164,151,30,5.0,80,145.032183,-37.857677,Stonnington
Catholic,2,1122,St Brigid's College,Secondary,O,97 Robinson Street,,HORSHAM,VIC,3400,PO Box 542,,HORSHAM,VIC,3402,03 5382 3545,SOUTH-WESTERN VICTORIA,Wimmera South West,319,Horsham,Non Metro,142.207946,-36.717313,230,38,36,41,57,32,26,27,1.9,69,142.207946,-36.717313,Horsham
Catholic,2,1226,Loreto Mandeville Hall,Pri/Sec,O,10 Mandeville Crescent,,TOORAK,VIC,3142,10 Mandeville Crescent,,TOORAK,VIC,3142,03 8290 7500,SOUTH-EASTERN VICTORIA,Bayside Peninsula,635,Stonnington,Metro,145.014892,-37.848193,916,150,140,156,155,163,152,35,26.4,99,145.014892,-37.848193,Stonnington
Catholic,2,1287,Our Lady of Sion College,Secondary,O,1065 Whitehorse Road,,BOX HILL,VIC,3128,PO Box 254,,KERRIMUIR,VIC,3129,03 9890 9097,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,698,Whitehorse,Metro,145.129918,-37.818348,937,183,146,164,153,150,141,32,7.8,93,145.129918,-37.818348,Whitehorse
Catholic,2,1299,Salesian College Sunbury,Secondary,O,1 Macedon Street,1 Macedon Street,SUNBURY,VIC,3429,1 Macedon Street,1 Macedon Street,SUNBURY,VIC,3429,03 9744 0000,NORTH-WESTERN VICTORIA,Hume Merri-bek,327,Hume,Metro,144.73903,-37.572644,1745,350,322,315,283,240,235,27,1.2,58,144.73903,-37.572644,Hume
Catholic,2,1386,Santa Maria College,Secondary,O,50 Separation Street,,NORTHCOTE,VIC,3070,PO Box 679,,NORTHCOTE,VIC,3070,03 9488 1600,NORTH-WESTERN VICTORIA,North Eastern Melbourne,189,Darebin,Metro,145.00248,-37.770356,775,137,121,127,115,138,137,30,8.9,90,145.00248,-37.770356,Darebin
Catholic,2,1415,St Kevin's College,Pri/Sec,O,31 Moonga Road,,TOORAK,VIC,3142,31 Moonga Road,,TOORAK,VIC,3142,03 9822 0911,SOUTH-EASTERN VICTORIA,Bayside Peninsula,635,Stonnington,Metro,145.0246967,-37.8353971,1626,269,252,274,276,282,273,35,23.7,97,145.0246967,-37.8353971,Stonnington
Catholic,2,1425,St Joseph's College Geelong,Secondary,O,135 Aphrasia Street,,NEWTOWN,VIC,3220,135 Aphrasia Street,,NEWTOWN,VIC,3220,03 5226 8100,SOUTH-WESTERN VICTORIA,Barwon,275,Greater Geelong,Non Metro,144.331863,-38.150205,1755,321,308,287,296,277,266,,,,144.331863,-38.150205,Greater Geelong
Catholic,2,1431,St Bede's College,Secondary,O,2 Mentone Parade,,MENTONE,VIC,3194,2 Mentone Parade,,MENTONE,VIC,3194,03 9582 5999,SOUTH-EASTERN VICTORIA,Bayside Peninsula,343,Kingston,Metro,145.068214,-37.991161,1896,339,320,323,324,295,295,30,6.9,71,145.068214,-37.991161,Kingston
Catholic,2,1445,Siena College Ltd,Secondary,O,815 Riversdale Road,,CAMBERWELL,VIC,3124,815 Riversdale Road,,CAMBERWELL,VIC,3124,03 9835 0200,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,111,Boroondara,Metro,145.082575,-37.833662,692,105,137,110,102,127,111,,,,145.082575,-37.833662,Boroondara
Catholic,2,1471,St Bernard's College,Secondary,O,41 Rosehill Road,,ESSENDON,VIC,3040,41 Rosehill Road,,ESSENDON,VIC,3040,03 9289 1000,SOUTH-WESTERN VICTORIA,Western Melbourne,506,Moonee Valley,Metro,144.8832,-37.749392,1579,280,279,244,269,259,248,31,8.0,74,144.8832,-37.749392,Moonee Valley
Catholic,2,1473,Whitefriars College,Secondary,O,156 Park Road,,DONVALE,VIC,3111,156 Park Road,,DONVALE,VIC,3111,03 9872 8200,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,421,Manningham,Metro,145.199541,-37.7918,1065,201,176,164,174,197,153,30,7.0,80,145.199541,-37.7918,Manningham
Catholic,2,1481,Our Lady of the Sacred Heart College,Secondary,O,111 Jasper Road,,BENTLEIGH,VIC,3204,111 Jasper Road,,BENTLEIGH,VIC,3204,03 8520 9200,SOUTH-EASTERN VICTORIA,Bayside Peninsula,231,Glen Eira,Metro,145.039942,-37.925723,729,141,101,121,135,110,121,,,,145.039942,-37.925723,Glen Eira
Catholic,2,1485,Salesian College Chadstone,Secondary,O,10 Bosco Street,,CHADSTONE,VIC,3148,10 Bosco Street,,CHADSTONE,VIC,3148,03 9807 2644,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,497,Monash,Metro,145.100257,-37.882735,986,191,148,139,173,172,163,,,,145.100257,-37.882735,Monash
Catholic,2,1495,Marcellin College,Secondary,O,160 Bulleen Road,,BULLEEN,VIC,3105,160 Bulleen Road,,BULLEEN,VIC,3105,03 9851 1589,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,421,Manningham,Metro,145.082675,-37.774782,1143,189,169,177,208,206,194,31,5.1,82,145.082675,-37.774782,Manningham
Catholic,2,1497,Marist-Sion College,Secondary,O,165 Burke Street,,WARRAGUL,VIC,3820,165 Burke Street,,WARRAGUL,VIC,3820,03 5623 5944,SOUTH-EASTERN VICTORIA,Inner Gippsland,83,Baw Baw,Non Metro,145.915266,-38.159029,1088,221,212,191,171,157,136,,,,145.915266,-38.159029,Baw Baw
Catholic,2,1528,Monivae College,Secondary,O,133 Ballarat Road,,HAMILTON,VIC,3300,PO Box 423,,HAMILTON,VIC,3300,03 5551 1200,SOUTH-WESTERN VICTORIA,Wimmera South West,626,Southern Grampians,Non Metro,142.0494536,-37.74203709,599,115,107,97,103,96,81,27,1.2,43,142.0494536,-37.74203709,Southern Grampians
Catholic,2,1547,Killester College,Secondary,O,433 Springvale Road,,SPRINGVALE,VIC,3171,433 Springvale Road,,SPRINGVALE,VIC,3171,03 9547 5000,SOUTH-EASTERN VICTORIA,Southern Melbourne,267,Greater Dandenong,Metro,145.152017,-37.959071,990,168,168,168,158,168,160,30,5.3,96,145.152017,-37.959071,Greater Dandenong
Catholic,2,1551,Clonard College,Secondary,O,225 Church Street,,HERNE HILL,VIC,3218,225 Church Street,,HERNE HILL,VIC,3218,03 5278 2155,SOUTH-WESTERN VICTORIA,Barwon,275,Greater Geelong,Non Metro,144.330481,-38.130078,0,0,0,0,0,0,0,29,5.4,69,144.330481,-38.130078,Greater Geelong
Catholic,2,1571,Sacred Heart Girls' College,Secondary,O,113 Warrigal Road,,HUGHESDALE,VIC,3166,PO Box 228,,OAKLEIGH,VIC,3166,03 9568 5488,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,497,Monash,Metro,145.086083,-37.902163,0,0,0,0,0,0,0,32,10.6,94,145.086083,-37.902163,Monash
Catholic,2,1588,St John's Regional College,Secondary,O,5-11 Caroline Street,,DANDENONG,VIC,3175,Private Bag 5040 MDC,,DANDENONG,VIC,3175,03 8793 2000,SOUTH-EASTERN VICTORIA,Southern Melbourne,267,Greater Dandenong,Metro,145.226256,-37.990229,0,0,0,0,0,0,0,27,3.0,85,145.226256,-37.990229,Greater Dandenong
Catholic,2,1589,Nagle College,Secondary,O,20 Hope Avenue,,BAIRNSDALE,VIC,3875,PO Box 507,,BAIRNSDALE,VIC,3875,03 5152 6122,SOUTH-EASTERN VICTORIA,Outer Gippsland,211,East Gippsland,Non Metro,147.587656,-37.837096,817,160,155,161,136,115,90,28,3.0,58,147.587656,-37.837096,East Gippsland
Catholic,2,1590,St Mary's School,Pri/Sec,O,12 Watkin Street,,ROBINVALE,VIC,3549,PO Box 379,,ROBINVALE,VIC,3549,03 5026 3483,NORTH-WESTERN VICTORIA,Mallee,661,Swan Hill,Non Metro,142.7785055,-34.58470583,50,29,21,0,0,0,0,,,,142.7785055,-34.58470583,Swan Hill
Catholic,2,1592,Emmaus College,Pri/Sec,O,503 Springvale Road,,VERMONT SOUTH,VIC,3133,503 Springvale Road,,VERMONT SOUTH,VIC,3133,03 9845 3211,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,698,Whitehorse,Metro,145.174107,-37.84779,0,0,0,0,0,0,0,31,9.8,73,145.174107,-37.84779,Whitehorse
